clean,created_at,full_text,id,label,crowd_label
"[""it"",""is"",""the"",""white"",""man"",""is"",""stopping"",""a"",""black"",""woman"",""from"",""having"",""the"",""privilege"",""of"",""using"",""brand"",""new"",""public"",""transportation""]",Sat Mar 20 05:37:08 +0000 2021,"@victoriakuott it is, the white man is stopping a BLACK WOMAN from having the privilege of using brand new public transportation.  #blm #outraged https://t.co/MWE4UdOgRw",1.37315E+18,angry,angry
"[""morrison"",""utterly"",""refuses"",""to"",""engage"",""and"",""his"",""instinctual"",""hostility"",""when"",""challenged"",""is"",""evidently"",""deeply"",""ingrained"",""morrison"",""has"",""clearly"",""signalled"",""that"",""women"",""will"",""get"",""nothing"",""from"",""him"",""he"",""needs"",""to"",""be"",""told"",""he"",""will"",""get"",""nothing"",""in"",""return""]",Fri Mar 19 23:20:40 +0000 2021,"Morrison utterly refuses to engage and his instinctual hostility when challenged is evidently deeply ingrained. 
Morrison has clearly signalled that women will get nothing from him. He needs to be told he will get nothing in return #NotMyPM #March4Justice #outraged https://t.co/TUiMptaHvn",1.37305E+18,angry,angry
"[""why"",""do"",""people"",""sit"",""there"",""and"",""watch"",""their"",""dogs"",""drag"",""their"",""bare"",""ass"",""on"",""the"",""carpet"",""and"",""do not"",""do"",""anything"",""just"",""laughing"",""like"",""nah"",""cannot"",""do"",""it""]",Fri Mar 19 17:33:07 +0000 2021,"Why do people sit there and watch their dogs drag their bare ass on the carpet and don’t do anything??! Just laughing. Like, Nah. Can’t do it. #outraged",1.37296E+18,angry,angry
"[""it"",""is"",""so"",""unfair"",""that"",""alabama"",""has"",""nicer"",""sport"",""facilities"",""than"",""the"",""local"",""division"",""3"",""school"",""that"",""has"",""2500"",""students"",""and"",""generates"",""no"",""revenue"",""😡😡😡""]",Fri Mar 19 13:11:20 +0000 2021,"It is so unfair that Alabama has nicer sport facilities than the local division 3 school that has 2500 students and generates no revenue 😡😡😡 
#outraged",1.3729E+18,angry,angry
"[""all"",""this"",""stimulus"",""munny"",""and"",""i"",""stil"",""dont"",""own"",""a"",""cat""]",Fri Mar 19 07:15:24 +0000 2021,All this stimulus munny and I stillll don't own a cat!!! #outraged,1.37281E+18,angry,angry
"[""do"",""and"",""get"",""an"",""email"",""around"",""midnight"",""from"",""their"",""leaders"",""telling"",""them"",""what"",""to"",""get"",""at"",""for"",""the"",""next"",""few"",""days"",""and"",""is"",""a"",""racist"",""and"",""looks"",""like"",""a"",""confused"",""jerk"",""i"",""meanreally""]",Fri Mar 19 00:59:29 +0000 2021,Do #Republicans and @FoxNews get an email around midnight from their #QAnon leaders telling them what to get #Outraged at for the next few days? And @TuckerCarlson is a racist and looks like a confused jerk. I mean...really?!?,1.37271E+18,angry,angry
"[""every"",""american"",""should"",""be"",""that"",""we"",""pay"",""his"",""salary"",""he"",""does"",""not"",""deserve"",""to"",""occupy"",""that"",""senate"",""seat""]",Fri Mar 19 00:02:03 +0000 2021,RT @ItsmeDonna8: Every American should be #outraged that we pay his salary! He does not deserve to occupy that senate seat! https://t.co/Lb…,1.3727E+18,angry,angry
"[""lee"",""mack"",""did"",""not"",""deliver"",""all"",""the"",""plates"",""two"",""broke"",""before"",""they"",""reached"",""the"",""table"",""😂""]",Thu Mar 18 21:56:39 +0000 2021,"@taskmaster Lee Mack did not deliver all the plates, two broke before they reached the table! #outraged 😂",1.37267E+18,angry,angry
"[""every"",""american"",""should"",""be"",""that"",""we"",""pay"",""his"",""salary"",""he"",""does"",""not"",""deserve"",""to"",""occupy"",""that"",""senate"",""seat""]",Thu Mar 18 20:40:43 +0000 2021,Every American should be #outraged that we pay his salary! He does not deserve to occupy that senate seat! https://t.co/LbITAA6E35,1.37265E+18,angry,angry
"[""is"",""the"",""isle"",""of"",""man"",""still"",""called"",""the"",""isle"",""of"",""man"",""😀""]",Thu Mar 18 20:29:18 +0000 2021,RT @LarHarmon: Is the Isle of Man still called the Isle of Man?? #outraged 😀,1.37265E+18,angry,
"[""for"",""yemen"",""by"",""force"",""en""]",Thu Mar 18 20:15:53 +0000 2021,"#independence for #South Yemen 
#Nountiy by force 

#Neanderthals #Stockmarketcrash #Powell #OUTRAGED #Marsha #Hallways #Freedom #classrooms 
@POTUS @JoeBiden @VP @KamalaHarris @AFP @AP @CNN @CNNPolitics @cnni @BBC @BBCNews @BBCBreaking @ABC @CIA @FBI @France24_en
@CarvajalF https://t.co/CiCwEyO00j",1.37264E+18,angry,
"[""who"",""is"",""responsible"",""for"",""the"",""thin"",""red"",""line"",""who"",""put"",""that"",""there"",""just"",""absolutely"",""arbitrary"",""nonsense""]",Thu Mar 18 18:41:40 +0000 2021,@drandrewb Who is responsible for the thin red line?! Who put that there? Just absolutely arbitrary nonsense. #outraged,1.37262E+18,angry,
"[""im"",""outraged"",""at"",""the"",""disappointing"",""lack"",""of"",""outrage"",""its"",""outrageous"",""people"",""should"",""be"",""outraged"",""about"",""something"",""on"",""twitter"",""shouldnt"",""they"",""someone"",""needs"",""to"",""make"",""a"",""cup"",""of"",""tea"",""wrong"",""and"",""post"",""a"",""pic"",""or"",""something""]",Thu Mar 18 13:48:45 +0000 2021,"@suetthatsme I'm outraged at the disappointing lack of outrage. Its outrageous, people should be outraged about something on Twitter shouldn't they? Someone needs to make a cup of tea wrong and post a Pic or something #outraged",1.37255E+18,angry,
"[""is"",""the"",""isle"",""of"",""man"",""still"",""called"",""the"",""isle"",""of"",""man"",""😀""]",Thu Mar 18 13:32:39 +0000 2021,Is the Isle of Man still called the Isle of Man?? #outraged 😀,1.37254E+18,angry,
"[""farage"",""i"",""think"",""you"",""are"",""right"",""rachel"",""but"",""think"",""you"",""understand"",""what"",""i"",""was"",""getting"",""at"",""others"",""do"",""i"",""am"",""sorry"",""to"",""hear"",""of"",""your"",""post"",""mil"",""joke"",""plight"",""but"",""the"",""jokers"",""are"",""not"",""all"",""sinners"",""but"",""there"",""are"",""odd"",""people"",""out"",""there"",""we will"",""call"",""them"",""the""]",Thu Mar 18 11:29:51 +0000 2021,@Rsb0121 @tomythetanker @Nigel_Farage I think you are right Rachel but think you understand what I was getting at - others do - I am sorry to hear of your post MIL joke plight but the jokers are not all sinners   But there are odd people out there we’ll call them the #outraged,1.37251E+18,angry,
"[""i"",""mean"",""he"",""is""]",Thu Mar 18 05:10:01 +0000 2021,@RevivalOfPotara I mean he is #outraged,1.37241E+18,angry,
"[""will"",""be"",""until"",""who"",""are"",""are"",""as"",""as"",""who"",""benjamin"",""franklin…""]",Wed Mar 17 19:56:17 +0000 2021,"RT @Misspiggychop: “#Justice Will #Not Be #Served Until #Those Who Are #Unaffected Are As #Outraged As #Those Who #Are.”
~Benjamin Franklin…",1.37228E+18,angry,
"[""sometimes"",""it"",""pays"",""to"",""read"",""a"",""tweet"",""properly"",""😂""]",Wed Mar 17 18:58:14 +0000 2021,Sometimes it pays to read a tweet properly..... #Outraged 😂 https://t.co/hekzSP0ZEn,1.37226E+18,angry,
"[""amp"",""is"",""still"",""alive"",""in"",""not"",""acknowledging"",""it"",""looking"",""for"",""another"",""reason"",""perpetuating"",""conspiracy"",""lies"",""amp"",""not"",""being"",""vocally"",""by"",""these"",""acts"",""is"",""keeping"",""out"",""society"",""complacent"",""to""]",Wed Mar 17 18:11:55 +0000 2021,"#Bigotry &amp; #bigoted #violence is still alive in #America. Not acknowledging it, looking for another reason, perpetuating conspiracy lies, &amp; not being vocally #outraged by these acts is keeping out society complacent to #hatecrimes. https://t.co/LHCNo4c28Y",1.37225E+18,angry,
"[""for"",""yemen"",""by"",""force""]",Wed Mar 17 10:47:50 +0000 2021,"RT @Adencity2020: #independence for #South Yemen 
#Nountiy by force 

#Neanderthals #Stockmarketcrash #Powell #OUTRAGED #Marsha #Hallways #…",1.37214E+18,angry,
"[""for"",""yemen"",""by"",""force"",""en""]",Wed Mar 17 10:38:23 +0000 2021,"#independence for #South Yemen 
#Nountiy by force 

#Neanderthals #Stockmarketcrash #Powell #OUTRAGED #Marsha #Hallways #Freedom #classrooms 
@POTUS @JoeBiden @VP @KamalaHarris @AFP @AP @CNN @CNNPolitics @cnni @BBC @BBCNews @BBCBreaking @ABC @CIA @FBI @France24_en https://t.co/zcmkRXO2AV",1.37214E+18,angry,
"[""so"",""after"",""we"",""got"",""properly"",""mahooted"",""last"",""nightthe"",""aps"",""trawled"",""a"",""vaccine"",""site"",""this"",""morning"",""linked"",""to"",""the"",""beeb"",""that"",""states"",""for"",""max"",""efficacy"",""one"",""should"",""desist"",""2"",""days"",""b4"",""and"",""2"",""weeks"",""after"",""im"",""miffed"",""as"",""i"",""was"",""planning"",""starting"",""the"",""weekend"",""todaynow"",""the"",""s"",""word"",""is"",""put"",""to"",""me""]",Wed Mar 17 07:55:57 +0000 2021,"@SBIdotcom So after we got properly mahooted last night..the aps trawled a vaccine site this morning linked to the beeb that states for max efficacy one should desist 2 days b4 and 2 weeks after

I'm miffed as I was planning starting the weekend today..now the s word is put to me

#outraged",1.37209E+18,angry,
"[""will"",""be"",""until"",""who"",""are"",""are"",""as"",""as"",""who"",""benjamin"",""franklin"",""news3"",""to""]",Wed Mar 17 07:54:27 +0000 2021,"“#Justice Will #Not Be #Served Until #Those Who Are #Unaffected Are As #Outraged As #Those Who #Are.”
~Benjamin Franklin

@JoeBiden @POTUS @GovEvers @WisDOJ @digitalspy @WISCTV_News3 @CIA @Newsweek @WISN12News @FBI @PostCrescent 

#ReleaseTheRav to @ZellnerLaw 

#WorkWithKZ
#100K https://t.co/Hy0JHjEmm8",1.37209E+18,angry,
