clean,created_at,full_text,id,label,crowd_label
"[""still"",""needs""]",Sat Mar 20 11:25:11 +0000 2021,RT @brendaperrott2: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties #blackcats ..,1.37323E+18,fear,
"[""not"",""gona"",""lie"",""i"",""sht"",""myself"",""here"",""rt""]",Sat Mar 20 11:20:57 +0000 2021,RT @AngryPaul1: Not Gona Lie I SH*T Myself Here! @BlazedRTs @stream_rt @rtsmallstreams @TwitchReTweets @TwitchHost #warzone #cod #callofdut…,1.37323E+18,fear,
"[""still"",""needs""]",Sat Mar 20 11:07:32 +0000 2021,#urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties #blackcats .. https://t.co/PywxHlubKt,1.37323E+18,fear,
"[""i"",""thought"",""i"",""would"",""die"",""not"",""also"",""in"",""game""]",Sat Mar 20 11:03:49 +0000 2021,"I thought I would die (not also in game :') ) !

https://t.co/f5Jo9BWACy

#phasmophobia募集 #Phasmophobia #Fun #Twitch​ #Streaming​ #Gaming #clips  #scary #scared 
#supportsmallstreamers #twitchaffiliate #ghost",1.37323E+18,fear,happy
"[""feeling"",""good"",""but"",""not"",""really""]",Sat Mar 20 11:01:25 +0000 2021,Feeling good but not really #scared,1.37323E+18,fear,fear
"[""not"",""gona"",""lie"",""i"",""sht"",""myself"",""here"",""rt""]",Sat Mar 20 10:44:07 +0000 2021,Not Gona Lie I SH*T Myself Here! @BlazedRTs @stream_rt @rtsmallstreams @TwitchReTweets @TwitchHost #warzone #cod #callofduty #twitch #SmallStreamersConnectRT #smallstreamer #scared https://t.co/B3U5Rd9K9A,1.37322E+18,fear,fear
"[""still"",""needs""]",Sat Mar 20 09:45:52 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ...",1.37321E+18,fear,
"[""still"",""needs"",""…""]",Sat Mar 20 09:33:42 +0000 2021,"RT @BrendaPerrott: #weekendthoughts #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ..…",1.37321E+18,fear,
"[""still"",""needs""]",Sat Mar 20 09:31:23 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats .... https://t.co/M…",1.37321E+18,fear,
"[""still"",""needs""]",Sat Mar 20 09:31:17 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ... https://t.co/MX…",1.37321E+18,fear,
"[""omg！there"",""was"",""the"",""earthquake"",""about15minutes"",""ago😱"",""my"",""living"",""room"",""was"",""a"",""bit"",""shaking"",""💣💨its"",""awful""]",Sat Mar 20 09:29:02 +0000 2021,"omg！there was the earthquake about15minutes ago😱
my living room was a bit shaking
💣💨it's awful
#地震 #earthquake #宮城県 #japan #awful #scared #calmdown",1.3732E+18,fear,
"[""sent"",""to"",""the"",""supermarket"",""to"",""get"",""a"",""bunch"",""of"",""stuff"",""i"",""forgot"",""to"",""get"",""specific"",""chocolate"",""items"",""and"",""now"",""i"",""will"",""be"",""in"",""deep"",""shit""]",Sat Mar 20 09:26:53 +0000 2021,Sent to the supermarket to get a bunch of stuff. I forgot to get specific chocolate items and now I will be in deep shit #shopping #fail #scared https://t.co/itTBBe08Qj,1.3732E+18,fear,
"[""still"",""needs""]",Sat Mar 20 09:01:08 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ....",1.3732E+18,fear,
"[""still"",""needs""]",Sat Mar 20 09:00:52 +0000 2021,"RT @BrendaPerrott: #weekendthoughts #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ..",1.3732E+18,fear,
"[""still"",""needs""]",Sat Mar 20 09:00:40 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats .....",1.3732E+18,fear,
"[""still"",""needs""]",Sat Mar 20 08:54:56 +0000 2021,"RT @BrendaPerrott: #urgent #scared!  #rescueme! STILL NEEDS #Pledges !  #mariettaga #cats #cat @cobbkitties
 #blackcats ..... https://t.co/…",1.3732E+18,fear,
