clean,created_at,full_text,id,label,crowd_label
"[""kindness"",""the"",""world"",""needs"",""more"",""kindness"",""spread"",""your"",""special"",""kindness"",""everywhere"",""today"",""#whenangelsfly"",""#kindness"",""#inspir…""]",Sat Mar 20 10:59:59 +0000 2021,"RT @MaryLSchmidt: Kindness! The world needs more kindness! Spread your special kindness 
everywhere today! #WhenAngelsFly #kindness #inspir…",1.37323E+18,happy,happy
"[""if"",""you are"",""reading"",""this"",""know"",""that"",""we"",""smile"",""when"",""you"",""smile"",""#paramountcables #safety #safetyfirst #expert"",""#wiringexpert"",""#happiness"",""#customers""]",Sat Mar 20 10:59:46 +0000 2021,"If you’re reading this, know that we smile when you smile.

#ParamountCables #Safety #SafetyFirst #Expert #WiringExpert #Happiness #Customers https://t.co/6zTRxQ6TFS",1.37323E+18,happy,happy
"[""prudence"",""because"",""of"",""your"",""smile"",""you"",""make"",""life"",""more"",""beautiful☺️"",""prudence"",""celebrates"",""international"",""day"",""of"",""happiness"",""#happines…""]",Sat Mar 20 10:59:28 +0000 2021,"RT @school_prudence: Because of your smile, you make life more beautiful.☺️

Prudence celebrates International Day of Happiness.

#happines…",1.37323E+18,happy,happy
"[""nashik"",""property"",""guru"",""one"",""more"",""satisfied"",""customer""]",Sat Mar 20 11:16:33 +0000 2021,"Nashik Property Guru
 
One More Satisfied Customer.....!!

#happy #happiness #happyclient #happycustomer #nashikpropertyguru #happyhome #clientfeedback #clients #clientdiaries #clientlove #customersatisfaction #clientsatisfaction #satisfaction #nashikproperty #CustomerService https://t.co/tlj0xp7yQg",1.37323E+18,happy,happy
"[""mahatma"",""gandhi"",""once"",""said"",""“happiness"",""is"",""when"",""what"",""you"",""think"",""what"",""you"",""say"",""and"",""what"",""you"",""do"",""are"",""in"",""harmony”"",""wishing"",""everyone"",""a"",""very"",""may"",""this"",""day"",""us""]",Sat Mar 20 11:16:18 +0000 2021,"Mahatma Gandhi once said, “Happiness is when what you think, what you say, and what you do are in harmony.”

Wishing everyone a very #Happy #International #Day #of #Happiness, may this day #unite us #even #more :) https://t.co/4OgHS0UUA2",1.37323E+18,happy,happy
"[""makes"",""your"",""community"",""a"",""better"",""place"",""contributing"",""to"",""your"",""and"",""others"",""sense"",""of"",""wellbeing"",""and"",""fu…""]",Sat Mar 20 11:16:08 +0000 2021,"RT @UNVolunteers: #Volunteering makes your community a better place, contributing to your and others' sense of wellbeing, #happiness and fu…",1.37323E+18,happy,pleasant
"[""ghana"",""“good"",""food"",""is"",""the"",""foundation"",""of"",""genuine"",""auguste"",""escoffier"",""no"",""matter"",""how"",""your"",""day"",""goes"",""smile"",""and"",""remember"",""to…""]",Sat Mar 20 11:16:07 +0000 2021,"RT @WFP_Ghana: “Good food is the foundation of genuine #Happiness.”- Auguste Escoffier.

No matter how your day goes, smile and remember to…",1.37323E+18,happy,happy
"[""india"",""has"",""been"",""ranked"",""139"",""out"",""of"",""149"",""countries"",""in"",""the"",""list"",""of"",""un"",""world"",""happiness"",""report"",""2021""]",Sat Mar 20 11:16:04 +0000 2021,RT @prasadvedpathak: India has been ranked 139 out of 149 countries in the list of UN World Happiness Report 2021 #happiness,1.37323E+18,happy,surprise
"[""amen""]",Sat Mar 20 11:16:04 +0000 2021,RT @ericalayneco: Amen! #selfcare #happiness #happymoms https://t.co/fOUYu4pC1d,1.37323E+18,happy,
"[""•"",""happiness"",""•"",""today"",""is"",""and"",""weve"",""got"",""plenty"",""of"",""it"",""at"",""the"",""yorkies"",""if"",""youre"",""happy"",""and"",""content"",""youre"",""very"",""wealthy"",""we"",""cant"",""wait"",""to"",""get"",""back"",""on"",""the"",""pitch"",""together"",""as"",""friends"",""and"",""teammates"",""❤👥🟥"",""📸"",""melvyn"",""marriott"",""•""]",Sat Mar 20 11:15:55 +0000 2021,"• HAPPINESS •

Today is #InternationalDayOfHappiness and we've got plenty of it at the Yorkies. If you're happy and content, you're very wealthy.

We can't wait to get back on the pitch together as friends and teammates. ❤👥🟥

📸 Melvyn Marriott

#Happiness • #UpTheYorkies https://t.co/Vf245CyjxK",1.37323E+18,happy,
