clean,created_at,full_text,id,label,crowd_label
"[""2em13"",""hi"",""weekend"",""🎶🌸🎶🍀🎶""]",Sat Mar 20 11:24:30 +0000 2021,"RT @glitter_2em13: Hi !! Weekend 🎶🌸🎶🍀🎶

#goodvibes  #em https://t.co/tsGp4OxcWC",1.37E+18,pleasant,
"[""gnec"",""media"",""wishes"",""you"",""all"",""a"",""delightful"",""international"",""day"",""of"",""happiness"",""share"",""happiness"",""to"",""gain"",""happiness"",""lets"",""make"",""the"",""world"",""a"",""happier"",""place""]",Sat Mar 20 11:21:46 +0000 2021,"GNEC Media wishes you all a delightful International Day of Happiness. Share happiness to gain happiness. Let's make the world a happier place.
 #happinessday 

#quote #peace #internationaldayofhappiness2021 #happinessday2021  #selfcare #motivational #inspire  #goodvibes https://t.co/PFXfpQhylE",1.37E+18,pleasant,
"[""marc"",""mac"",""high"",""on"",""the"",""people""]",Sat Mar 20 11:20:28 +0000 2021,#nowplaying Marc Mac - High On The People #less #talk #more #music #australia #urban #goodvibes,1.37E+18,pleasant,
"[""family"",""wall""]",Sat Mar 20 11:19:45 +0000 2021,"Family wall!!
#family #proud #goodvibes #2022 https://t.co/aKQPUkPMvl https://t.co/PXmzWI0qJT",1.37E+18,pleasant,
"[""made"",""some"",""great"",""memories"",""and"",""met"",""some"",""cool"",""people"",""in"",""miami"",""time"",""to"",""go"",""home"",""to"",""reality"",""though""]",Sat Mar 20 11:19:10 +0000 2021,Made some great memories and met some cool people in Miami! Time to go home to reality though #Miami #TheBoys #GoodVibes https://t.co/if7NaK1voS,1.37E+18,pleasant,pleasant
"[""tom"",""kitty"",""oliver"",""pinnacle"",""cow""]",Sat Mar 20 11:18:14 +0000 2021,"#musicnews360 #music #cannabis #cannabiscommunity #cannabinoids #marijuana #thc #cbd #herbalism #plantmedicine #healing #holistichealing #goodvibes #spirituality #spiritualawakening 

Tom Kitty Oliver - Pinnacle Cow

https://t.co/tzWlg4ipal https://t.co/b3QnhKU4kg",1.37E+18,pleasant,pleasant
"[""256"",""and"",""i"",""with"",""a"",""smooth"",""one"",""for"",""you"",""and"",""your"",""lover"",""this"",""weekend"",""out"",""now""]",Sat Mar 20 11:17:03 +0000 2021,"RT @yendxr21: @humphrey__256 and I with a smooth one for you and your lover this weekend OUT NOW.....
.
.
.
.
#mylover #ugandamusic #newwav…",1.37E+18,pleasant,pleasant
"[""reposted"",""from"",""toes"",""pura"",""vida"",""sloth"",""toes"",""store""]",Sat Mar 20 11:15:56 +0000 2021,"Reposted from @sloth_toes Pura Vida @jencarlosmusic 

Sloth Toes Store

#slothtoes #puertoviejo #puravida #jencarlosmusic #limon #caribesur #goodvibes #buenavibras #cuba #costarica #centralamerica https://t.co/R5D1B2o4Xo",1.37E+18,pleasant,
"[""wherever"",""you"",""are"",""i"",""hope"",""you are"",""having"",""a"",""lovely"",""day"",""❤️""]",Sat Mar 20 11:13:55 +0000 2021,Wherever you are.. I hope you’re having a lovely day! ❤️ #GoodVibes #love,1.37E+18,pleasant,happy
"[""2008"",""☮️𝓕𝓸𝓻"",""𝔂𝓸𝓾"",""𝓭𝓮𝓪𝓻"",""𝓯𝓻𝓲𝓮𝓷𝓭"",""𝔀𝓱𝓮𝓻𝓮𝓿𝓮𝓻"",""𝔂𝓸𝓾"",""𝓪𝓻𝓮💕"",""surround"",""yourself"",""with"",""people"",""who"",""believe"",""in"",""your"",""dreams"",""encourage"",""your"",""ideas…""]",Sat Mar 20 11:13:28 +0000 2021,"RT @juanjose_2008: ☮️𝓕𝓸𝓻 𝔂𝓸𝓾 𝓭𝓮𝓪𝓻 𝓯𝓻𝓲𝓮𝓷𝓭 𝔀𝓱𝓮𝓻𝓮𝓿𝓮𝓻 𝔂𝓸𝓾 𝓪𝓻𝓮💕

Surround yourself with people who believe in your dreams,
encourage your ideas,…",1.37E+18,pleasant,happy
