clean,created_at,full_text,id,label,crowd_label
"[""for"",""those"",""of"",""you"",""not"",""wanting"",""the"",""vaccination"",""or"",""just"",""uncertain"",""of"",""having"",""the"",""today"",""i"",""had"",""mine"",""my"",""moth…""]",Sat Mar 20 11:33:00 +0000 2021,"RT @Aneedtopaint: For those of you not wanting the vaccination or just uncertain of having the #OxfordAstraZeneca Today I had mine, my Moth…",1.37324E+18,surprise,
"[""😢"",""indeed"",""and"",""so"",""the"",""demand"",""for"",""a"",""basic"",""easy"",""to"",""install"",""2"",""transmitters"",""clipped"",""around"",""the"",""appropriate"",""wires"",""amp"",""lowcost"",""realtime"",""consumption"",""and"",""generation"",""ihd"",""meter"",""remains"",""😞"",""or"",""is"",""there"",""one"",""lurking"",""out"",""there"",""j""]",Sat Mar 20 11:32:58 +0000 2021,"@DonnachadhMc 😢 Indeed.

And so the demand for a basic, easy to install (2 transmitters clipped around the appropriate wires) &amp; low-cost realtime consumption AND generation IHD meter remains 😞

Or is there one lurking out there?
@energystatsuk @Openenergymon @GuyLipman @LittleEcoT @g__j",1.37324E+18,surprise,
"[""one"",""of"",""my"",""childhood"",""football"",""heroes"",""😞"",""rip"",""peter"",""lorimer""]",Sat Mar 20 11:32:55 +0000 2021,One of my childhood football heroes 😞 RIP Peter Lorimer #hardestshotinhistory #MOT https://t.co/V0Wh7N3SrJ,1.37324E+18,surprise,
"[""i"",""wanna"",""try"",""pink"",""whitney"",""so"",""bad"",""but"",""thats"",""not"",""an"",""option"",""in"",""norway"",""😞""]",Sat Mar 20 11:32:55 +0000 2021,"@timpaynex I wanna try Pink Whitney so bad, but that's not an option in Norway 😞",1.37324E+18,surprise,surprise
"[""besties"",""please"",""call"",""me"",""if"",""asahi"",""breathe"",""on"",""this"",""app😞""]",Sat Mar 20 11:32:55 +0000 2021,besties please call me if asahi breathe on this app😞,1.37324E+18,surprise,
"[""no"",""updates"",""from"",""cbi"",""breaks"",""my"",""heart"",""💔💔"",""i"",""just"",""cant"",""express"",""the"",""pain"",""😞😢"",""bangladesh"",""roars"",""4"",""ssr""]",Sat Mar 20 11:32:53 +0000 2021,"RT @Shivama60514632: No Updates from CBI breaks my heart 💔💔
I just can't express the pain 😞😢

BANGLADESH ROARS 4 SSR",1.37324E+18,surprise,surprise
"[""🐰"",""v"",""hyung"",""i"",""this"",""this"",""this"",""can"",""i"",""eat"",""this"",""🐯"",""yea"",""eat"",""it"",""im"",""melting"",""fr"",""😞""]",Sat Mar 20 11:32:52 +0000 2021,"RT @vgukayo: 🐰 v hyung! i this this this can i eat this?? 
🐯 yea, eat it!
IM MELTING FR 😞  https://t.co/uz0Oh5c4lq",1.37324E+18,surprise,
"[""sorry"",""to"",""say"",""this"",""but"",""in"",""we"",""do"",""not"",""have"",""visual"",""line😞"",""because"",""the"",""whole"",""group"",""is"",""visual😏""]",Sat Mar 20 11:32:52 +0000 2021,"RT @STEUN0315: Sorry to say this but in #NUEST we do not have visual line!😞.....

......Because the whole group is visual!!😏",1.37324E+18,surprise,
"[""this"",""is"",""frustrating"",""please"",""hype"",""yedams"",""voting"",""polls"",""too"",""we"",""cant"",""do"",""this"",""alone"",""please"",""if"",""you"",""cant"",""vote"",""just"",""hype…""]",Sat Mar 20 11:32:48 +0000 2021,"RT @yedamiesarang: This is frustrating. Please hype Yedam's voting polls, too. We can't do this alone. Please. If you can't vote, just hype…",1.37324E+18,surprise,surprise
"[""thank"",""you"",""god"",""for"",""listening"",""all"",""my"",""rants"",""in"",""life😞🙏""]",Sat Mar 20 11:32:45 +0000 2021,Thank you God for listening all my rants in life.😞🙏 https://t.co/XbcdQnwRNa,1.37324E+18,surprise,pleasant
"[""i"",""didnt"",""know"",""they"",""were"",""white"",""at"",""the"",""start"",""ok😞""]",Sat Mar 20 11:32:44 +0000 2021,@ERENPHOBE777 I didn't know they were white at the start ok😞,1.37324E+18,surprise,
"[""not"",""qualify"",""😞""]",Sat Mar 20 11:32:43 +0000 2021,RT @ReddyPata: Not qualify 😞 https://t.co/KDanZnNV22,1.37324E+18,surprise,
"[""day"",""23"",""of"",""intern"",""literally"",""want"",""to"",""recover"",""my"",""health"",""back"",""i am"",""sweating"",""like"",""hell"",""back"",""then"",""😞""]",Sat Mar 20 11:32:42 +0000 2021,"Day 23 of intern, literally want to recover my health back. I’m sweating like hell back then. 😞",1.37324E+18,surprise,
"[""julia"",""i"",""missed"",""u"",""so"",""much"",""😞""]",Sat Mar 20 11:32:40 +0000 2021,@vigorousjimin Julia i missed u so much 😞,1.37324E+18,surprise,
"[""this"",""wave"",""3"",""is"",""bad"",""kwanza"",""us"",""working"",""in"",""hospitals"",""daily"",""sijui"",""vile"",""itakua"",""😞""]",Sat Mar 20 11:32:38 +0000 2021,"RT @MuchiriH: This wave 3 is bad , kwanza us working in hospitals daily sijui vile itakua 😞",1.37324E+18,surprise,
"[""there has / there is"",""more"",""to"",""love"",""than"",""looking"",""good"",""together"",""miss"",""me"",""with"",""the"",""whole"",""they"",""look"",""compatible"",""they are"",""both"",""attractive"",""thing"",""there"",""def"",""will"",""be"",""more"",""as"",""time"",""goes"",""on"",""these"",""things"",""will"",""fade"",""away"",""even"",""love"",""might"",""fade"",""away"",""we"",""just"",""do not"",""get"",""it😞""]",Sat Mar 20 11:32:36 +0000 2021,"There’s more to love than looking good together. Miss me with the whole they look compatible, they’re both attractive thing. There def will be more as time goes on, these things will fade away; even love might fade away. We just don’t get it!😞 https://t.co/Kp9wqyLmBc",1.37324E+18,surprise,
"[""deluna"",""plas"",""🥺😞""]",Sat Mar 20 11:32:31 +0000 2021,@Clara_de_luna_ Plas 🥺😞,1.37324E+18,surprise,
"[""server"",""connectivity"",""issues"",""so"",""ig"",""i"",""wont"",""play"",""anymore"",""today"",""after"",""all"",""😞""]",Sat Mar 20 11:32:30 +0000 2021,server connectivity issues so ig i wont play anymore today after all 😞,1.37324E+18,surprise,surprise
"[""his"",""dimple😞😞""]",Sat Mar 20 11:32:29 +0000 2021,RT @MOONT0KKI: his dimple😞😞 https://t.co/gGQfqsAoAE,1.37324E+18,surprise,
"[""sakuras"",""best"",""friend"",""even"",""back"",""in"",""japan"",""before"",""and"",""her"",""another"",""best"",""friend"",""she"",""met"",""in"",""korea"",""😞""]",Sat Mar 20 11:32:28 +0000 2021,RT @wontonins: sakura's best friend even back in japan before and her another best friend she met in korea 😞 https://t.co/Weifi4DPi6,1.37324E+18,surprise,
"[""hello"",""this"",""is"",""my"",""acc"",""got"",""suspended"",""pls"",""rt"",""this"",""twt"",""to"",""help"",""me"",""find"",""my"",""oomfs"",""😞"",""thanks""]",Sat Mar 20 11:32:18 +0000 2021,"RT @vjluvrs: hello this is @jjkbabyyy my acc got suspended, pls rt this twt to help me find my oomfs 😞 THANKS ! https://t.co/0c7RvIO6Iy",1.37324E+18,surprise,surprise
"[""jesus"",""aphrodite"",""homophobic😞"",""lgbtq"",""icon🏳️‍🌈"",""dead"",""☠️"",""immortal✨"",""s…""]",Sat Mar 20 11:32:18 +0000 2021,"RT @himerosgaga: jesus                            aphrodite

- homophobic😞      - LGBTQ icon🏳️‍🌈
- dead ☠️                  - immortal✨
- s…",1.37324E+18,surprise,
